82,69,80,67,90,90,70,100,80,0,60
79,74,82,74,89,100,100,80,90,0,60
83,76,85,75,93,70,70,100,90,0,60
82,62,81,61,89,90,70,80,50,0,60
85,82,91,60,92,90,100,90,80,0,100
82,73,83,70,89,100,60,100,40,0,60
80,91,85,65,89,100,60,80,50,0,80
83,79,75,78,92,70,60,70,70,0,80
88,77,83,75,88,70,60,90,80,0,100
80,79,91,59,93,100,90,80,90,0,60
76,71,83,75,93,100,70,100,40,0,40
77,91,84,65,91,50,90,70,50,0,0
67,77,87,62,91,60,100,80,90,0,100
78,84,91,72,91,50,100,90,100,0,40
72,77,78,77,91,90,100,100,60,0,80
76,94,96,72,92,60,60,80,40,0,60
81,56,84,61,84,60,100,100,80,0,80
85,82,81,76,88,100,100,60,60,0,60
77,87,87,72,89,70,100,70,80,0,0
74,84,76,84,91,100,60,70,80,0,80
83,83,89,70,89,80,60,60,60,0,40
82,86,86,75,87,90,50,100,90,0,60
77,93,79,79,89,50,80,100,100,0,80
77,70,86,86,89,100,90,80,70,0,0
81,79,85,59,86,100,100,80,80,0,60
79,59,83,69,93,70,100,90,60,0,60
81,84,91,63,91,90,80,90,80,0,60
76,78,87,68,86,70,100,100,60,0,60
75,66,86,71,90,60,60,100,80,0,40
75,0,87,66,88,90,60,100,50,0,60
83,82,87,71,89,50,100,100,70,0,80
81,81,88,65,89,60,80,60,40,0,80
81,67,87,75,92,70,80,80,70,0,60
74,84,85,69,91,50,60,100,50,0,80
79,54,86,70,89,50,80,100,90,0,80
77,65,79,73,91,100,80,60,50,0,0
83,83,86,55,91,70,90,100,70,0,60
84,74,84,66,93,100,50,70,60,0,60
81,91,81,68,91,90,90,90,90,0,80
86,88,83,72,92,80,100,70,50,0,80
80,79,79,0,90,90,100,100,50,0,80
90,91,90,77,91,100,70,70,60,0,60
77,79,84,85,89,90,70,100,70,0,60
74,75,86,60,91,70,80,60,100,0,100
85,82,90,62,91,90,80,80,60,0,80
83,76,87,80,85,0,60,70,40,0,80
77,76,89,63,90,100,60,60,60,0,100
81,64,82,67,92,90,70,90,80,0,80
85,73,90,73,91,80,70,80,100,0,100
82,89,86,55,89,70,70,60,80,0,0
80,80,82,71,91,60,80,50,70,0,100
78,81,0,58,88,80,100,70,80,0,60
83,83,91,77,89,100,80,100,60,0,60
81,78,85,79,91,100,60,100,80,0,60
80,94,82,63,90,60,60,100,70,0,40
84,79,89,56,90,80,100,90,90,0,60
76,82,78,75,91,100,60,100,80,0,80
80,73,89,76,91,60,100,90,60,0,80
80,79,88,60,87,60,80,80,70,0,60
81,68,84,60,87,50,60,90,40,0,100
78,86,88,65,93,50,100,80,60,0,60
81,93,83,69,88,90,80,60,80,0,80
84,76,83,66,90,100,70,100,60,0,80
80,74,86,74,89,80,80,100,80,0,100
85,80,73,69,89,100,50,100,70,0,80
80,78,91,64,88,90,80,70,50,0,100
76,78,93,78,0,100,90,100,100,0,80
72,92,84,66,92,90,70,100,60,0,60
80,86,81,67,88,100,60,70,50,0,40
86,79,83,77,90,60,60,100,60,0,80
77,61,84,91,93,70,90,60,80,0,60
83,87,86,77,94,90,60,100,70,0,80
81,70,88,71,89,70,90,100,80,0,100
81,84,86,70,90,60,70,100,80,0,0
80,84,0,70,92,100,100,60,60,0,60
76,80,84,66,87,70,0,90,100,0,80
77,86,88,78,87,90,60,90,90,0,60
82,78,97,66,91,70,100,80,80,0,60
81,74,79,68,87,100,60,80,80,0,40
82,79,82,65,89,70,90,90,70,0,60
80,97,86,52,89,60,60,90,50,0,80
76,72,83,59,92,80,50,50,90,0,80
85,78,76,68,91,100,70,60,100,0,60
81,88,76,88,92,90,90,90,90,0,60
77,87,85,70,91,50,100,90,90,0,60
79,68,82,83,92,100,60,60,100,0,80
84,67,82,74,92,90,70,50,70,0,60
79,84,86,72,93,100,80,90,80,0,80
83,71,80,66,87,100,100,60,60,0,80
75,78,81,69,92,90,50,100,50,0,80
78,85,91,68,87,90,60,80,90,0,60
0,89,82,65,92,100,80,70,90,0,60
74,91,80,78,85,90,70,90,100,0,60
77,78,89,59,93,100,60,50,90,0,80
80,81,81,54,91,90,60,70,80,0,80
71,73,86,73,88,100,100,80,70,0,80
77,100,84,71,91,60,70,60,80,0,60
82,94,84,78,92,70,70,100,90,0,60
82,90,88,73,87,80,90,100,50,0,80
83,84,81,65,88,50,100,100,100,0,40
80,74,86,84,89,60,90,90,50,0,60
76,63,83,56,89,60,100,80,50,0,60
71,85,82,61,0,80,100,60,70,0,60
79,69,87,43,89,70,70,90,100,0,60
80,87,84,74,88,60,80,90,80,0,80
76,95,84,65,93,100,60,60,60,0,80
