81.0	81.0	81.0
81.0	80.0	81.0
82.0	75.0	82.0
83.0	84.0	85.0
81.0	81.0	80.0
76.0	83.0	84.0
76.0	85.0	84.0
88.0	83.0	74.0
80.0	85.0	83.0
81.0	81.0	79.0
82.0	83.0	82.0
77.0	82.0	81.0
81.0	74.0	85.0
83.0	77.0	82.0
82.0	71.0	76.0
80.0	74.0	81.0
81.0	79.0	83.0
83.0	86.0	81.0
82.0	77.0	77.0
79.0	79.0	76.0
90.0	80.0	84.0
77.0	81.0	78.0
80.0	82.0	77.0
77.0	77.0	82.0
80.0	79.0	84.0
76.0	76.0	82.0
80.0	79.0	82.0
82.0	83.0	79.0
83.0	82.0	80.0
82.0	81.0	82.0
80.0	80.0	78.0
86.0	80.0	85.0
82.0	80.0	82.0
86.0	80.0	81.0
81.0	81.0	80.0
77.0	77.0	80.0
82.0	80.0	76.0
90.0	80.0	80.0
79.0	81.0	85.0
81.0	85.0	83.0
85.0	83.0	85.0
80.0	83.0	84.0
81.0	83.0	82.0
85.0	67.0	80.0
79.0	82.0	80.0
74.0	81.0	86.0
80.0	76.0	80.0
79.0	82.0	76.0
74.0	88.0	80.0
77.0	81.0	77.0
74.0	81.0	83.0
80.0	81.0	81.0
77.0	72.0	76.0
77.0	82.0	82.0
82.0	75.0	83.0
82.0	82.0	80.0
85.0	83.0	81.0
83.0	76.0	80.0
82.0	82.0	83.0
74.0	86.0	80.0
80.0	76.0	83.0
80.0	76.0	81.0
75.0	83.0	82.0
81.0	88.0	81.0
76.0	83.0	75.0
85.0	77.0	81.0
71.0	74.0	81.0
83.0	77.0	83.0
90.0	83.0	84.0
74.0	83.0	88.0
81.0	84.0	82.0
76.0	75.0	85.0
80.0	81.0	85.0
82.0	77.0	80.0
78.0	85.0	81.0
82.0	88.0	77.0
78.0	82.0	74.0
80.0	84.0	82.0
81.0	78.0	77.0
83.0	80.0	76.0
74.0	76.0	86.0
77.0	80.0	79.0
79.0	77.0	78.0
74.0	79.0	81.0
78.0	83.0	82.0
74.0	77.0	76.0
90.0	85.0	81.0
81.0	81.0	81.0
85.0	71.0	86.0
83.0	84.0	85.0
77.0	74.0	82.0
74.0	71.0	80.0
77.0	78.0	81.0
76.0	80.0	79.0
77.0	76.0	79.0
83.0	72.0	79.0
80.0	81.0	80.0
83.0	80.0	77.0
72.0	76.0	85.0
78.0	77.0	84.0
80.0	76.0	79.0
79.0	80.0	76.0
76.0	81.0	79.0
84.0	83.0	81.0
77.0	80.0	83.0
80.0	77.0	81.0
